Material 1,Dicke1 (mm),Material 2,Dicke2 (mm),Test,Elektrokraft (kN),Strom (kA),Stromzeit (ms),Ergebnis,,
V2A,0.8,V2A,0.8,Scher,2.5,6,50,5.274751,,
V2A,0.8,V2A,0.8,Scher,2.5,6,150,5.221051,,
V2A,0.8,V2A,0.8,Scher,2.5,7,100,6.203447,,
V2A,0.8,V2A,0.8,Scher,2.5,8,50,6.392977,,
V2A,0.8,V2A,0.8,Scher,2.5,8,150,6.983678,,
V2A,0.8,V2A,0.8,Scher,3,6,100,5.145239,,
V2A,0.8,V2A,0.8,Scher,3,7,50,5.49271,,
V2A,0.8,V2A,0.8,Scher,3,7,100,6.793701,,
V2A,0.8,V2A,0.8,Scher,3,7,150,6.847849,,
V2A,0.8,V2A,0.8,Scher,3,8,100,6.781513,,
V2A,0.8,V2A,0.8,Scher,3.5,6,50,5.019364,,
V2A,0.8,V2A,0.8,Scher,3.5,6,150,5.066268,,
V2A,0.8,V2A,0.8,Scher,3.5,7,100,6.257147,,
V2A,0.8,V2A,0.8,Scher,3.5,8,50,5.110492,,
V2A,0.8,V2A,0.8,Scher,3.5,8,150,6.89839,,
V2A,0.8,V2A,1,Scher,3.5,6.5,100,5.499028,,
V2A,0.8,V2A,1,Scher,3.5,6.5,200,5.827546,,
V2A,0.8,V2A,1,Scher,3.5,7.5,150,6.146588,,
V2A,0.8,V2A,1,Scher,3.5,8.5,100,8.111381,,
V2A,0.8,V2A,1,Scher,3.5,8.5,200,7.624921,,
V2A,0.8,V2A,1,Scher,4,6.5,150,5.685399,,
V2A,0.8,V2A,1,Scher,4,7.5,100,8.026092,,
V2A,0.8,V2A,1,Scher,4,7.5,150,6.957356,,
V2A,0.8,V2A,1,Scher,4,7.5,200,7.08792,,
V2A,0.8,V2A,1,Scher,4,8.5,150,6.885754,,
V2A,0.8,V2A,1,Scher,4.5,6.5,100,7.934486,,
V2A,0.8,V2A,1,Scher,4.5,6.5,200,7.997663,,
V2A,0.8,V2A,1,Scher,4.5,7.5,150,5.761211,,
V2A,0.8,V2A,1,Scher,4.5,8.5,100,5.252639,,
V2A,0.8,V2A,1,Scher,4.5,8.5,200,8.825276,,
V2A,0.8,V2A,1.5,Scher,2.5,6,50,6.427724,,
V2A,0.8,V2A,1.5,Scher,2.5,6,150,7.602809,,
V2A,0.8,V2A,1.5,Scher,2.5,7,100,7.078443,,
V2A,0.8,V2A,1.5,Scher,2.5,8,50,6.620413,,
V2A,0.8,V2A,1.5,Scher,2.5,8,150,7.953439,,
V2A,0.8,V2A,1.5,Scher,3,6,100,6.219241,,
V2A,0.8,V2A,1.5,Scher,3,7,50,6.102365,,
V2A,0.8,V2A,1.5,Scher,3,7,100,6.972368,,
V2A,0.8,V2A,1.5,Scher,3,7,150,6.797307,,
V2A,0.8,V2A,1.5,Scher,3,8,100,7.283767,,
V2A,0.8,V2A,1.5,Scher,3.5,6,50,6.911025,,
V2A,0.8,V2A,1.5,Scher,3.5,6,150,7.817609,,
V2A,0.8,V2A,1.5,Scher,3.5,7,100,10.559474,,
V2A,0.8,V2A,1.5,Scher,3.5,8,50,7.988186,,
V2A,0.8,V2A,1.5,Scher,3.5,8,150,9.248559,,
V2A,1,V2A,1,Scher,3.5,6.5,100,6.740448,,
V2A,1,V2A,1,Scher,3.5,6.5,200,7.634397,,
V2A,1,V2A,1,Scher,3.5,7.5,150,8.022933,,
V2A,1,V2A,1,Scher,3.5,8.5,100,8.980059,,
V2A,1,V2A,1,Scher,3.5,8.5,200,9.971931,,
V2A,1,V2A,1,Scher,4,6.5,150,7.435391,,
V2A,1,V2A,1,Scher,4,7.5,100,10.392056,,
V2A,1,V2A,1,Scher,4,7.5,150,9.373859,,
V2A,1,V2A,1,Scher,4,7.5,200,9.959296,,
V2A,1,V2A,1,Scher,4,8.5,150,8.837911,,
V2A,1,V2A,1,Scher,4.5,6.5,100,7.185843,,
V2A,1,V2A,1,Scher,4.5,6.5,200,7.00579,,
V2A,1,V2A,1,Scher,4.5,7.5,150,8.32934,,
V2A,1,V2A,1,Scher,4.5,8.5,100,10.350991,,
V2A,1,V2A,1,Scher,4.5,8.5,200,8.506234,,
V2A,1,V2A,1.5,Scher,3.5,6.5,100,8.111381,,
V2A,1,V2A,1.5,Scher,3.5,6.5,200,8.897929,,
V2A,1,V2A,1.5,Scher,3.5,7.5,150,10.309926,,
V2A,1,V2A,1.5,Scher,3.5,8.5,100,10.025631,,
V2A,1,V2A,1.5,Scher,3.5,8.5,200,9.599189,,
V2A,1,V2A,1.5,Scher,4,6.5,150,9.959296,,
V2A,1,V2A,1.5,Scher,4,7.5,100,10.94801,,
V2A,1,V2A,1.5,Scher,4,7.5,150,9.46501,,
V2A,1,V2A,1.5,Scher,4,7.5,200,9.918231,,
V2A,1,V2A,1.5,Scher,4,8.5,150,9.883484,,
V2A,1,V2A,1.5,Scher,4.5,6.5,100,9.779243,,
V2A,1,V2A,1.5,Scher,4.5,6.5,200,10.51525,,
V2A,1,V2A,1.5,Scher,4.5,7.5,150,9.507583,,
V2A,1,V2A,1.5,Scher,4.5,8.5,100,10.335197,,
V2A,1,V2A,1.5,Scher,4.5,8.5,200,11.349181,,
V2A,1.5,V2A,1.5,Scher,6,8,150,15.24717,,
V2A,1.5,V2A,1.5,Scher,6,8,250,15.894738,,
V2A,1.5,V2A,1.5,Scher,6,9,200,11.033298,,
V2A,1.5,V2A,1.5,Scher,6,10,150,11.40604,,
V2A,1.5,V2A,1.5,Scher,6,10,250,13.206573,,
V2A,1.5,V2A,1.5,Scher,6.5,8,200,13.670921,,
V2A,1.5,V2A,1.5,Scher,6.5,9,150,11.811186,,
V2A,1.5,V2A,1.5,Scher,6.5,9,200,13.525027,,
V2A,1.5,V2A,1.5,Scher,6.5,9,250,12.19124,,
V2A,1.5,V2A,1.5,Scher,6.5,10,200,13.329768,,
V2A,1.5,V2A,1.5,Scher,7,8,150,13.083379,,
V2A,1.5,V2A,1.5,Scher,7,8,250,13.895198,,
V2A,1.5,V2A,1.5,Scher,7,9,200,11.608205,,
V2A,1.5,V2A,1.5,Scher,7,10,150,12.167318,,
V2A,1.5,V2A,1.5,Scher,7,10,250,11.668223,,
V2A,1,V2A,0.8,Scher,3.5,6.5,100,5.499028,,
V2A,1,V2A,0.8,Scher,3.5,6.5,200,5.827546,,
V2A,1,V2A,0.8,Scher,3.5,7.5,150,6.146588,,
V2A,1,V2A,0.8,Scher,3.5,8.5,100,8.111381,,
V2A,1,V2A,0.8,Scher,3.5,8.5,200,7.624921,,
V2A,1,V2A,0.8,Scher,4,6.5,150,5.685399,,
V2A,1,V2A,0.8,Scher,4,7.5,100,8.026092,,
V2A,1,V2A,0.8,Scher,4,7.5,150,6.957356,,
V2A,1,V2A,0.8,Scher,4,7.5,200,7.08792,,
V2A,1,V2A,0.8,Scher,4,8.5,150,6.885754,,
V2A,1,V2A,0.8,Scher,4.5,6.5,100,7.934486,,
V2A,1,V2A,0.8,Scher,4.5,6.5,200,7.997663,,
V2A,1,V2A,0.8,Scher,4.5,7.5,150,5.761211,,
V2A,1,V2A,0.8,Scher,4.5,8.5,100,5.252639,,
V2A,1,V2A,0.8,Scher,4.5,8.5,200,8.825276,,
V2A,1.5,V2A,0.8,Scher,2.5,6,50,6.427724,,
V2A,1.5,V2A,0.8,Scher,2.5,6,150,7.602809,,
V2A,1.5,V2A,0.8,Scher,2.5,7,100,7.078443,,
V2A,1.5,V2A,0.8,Scher,2.5,8,50,6.620413,,
V2A,1.5,V2A,0.8,Scher,2.5,8,150,7.953439,,
V2A,1.5,V2A,0.8,Scher,3,6,100,6.219241,,
V2A,1.5,V2A,0.8,Scher,3,7,50,6.102365,,
V2A,1.5,V2A,0.8,Scher,3,7,100,6.972368,,
V2A,1.5,V2A,0.8,Scher,3,7,150,6.797307,,
V2A,1.5,V2A,0.8,Scher,3,8,100,7.283767,,
V2A,1.5,V2A,0.8,Scher,3.5,6,50,6.911025,,
V2A,1.5,V2A,0.8,Scher,3.5,6,150,7.817609,,
V2A,1.5,V2A,0.8,Scher,3.5,7,100,10.559474,,
V2A,1.5,V2A,0.8,Scher,3.5,8,50,7.988186,,
V2A,1.5,V2A,0.8,Scher,3.5,8,150,9.248559,,
V2A,1.5,V2A,1,Scher,3.5,6.5,100,8.111381,,
V2A,1.5,V2A,1,Scher,3.5,6.5,200,8.897929,,
V2A,1.5,V2A,1,Scher,3.5,7.5,150,10.309926,,
V2A,1.5,V2A,1,Scher,3.5,8.5,100,10.025631,,
V2A,1.5,V2A,1,Scher,3.5,8.5,200,9.599189,,
V2A,1.5,V2A,1,Scher,4,6.5,150,9.959296,,
V2A,1.5,V2A,1,Scher,4,7.5,100,10.94801,,
V2A,1.5,V2A,1,Scher,4,7.5,150,9.46501,,
V2A,1.5,V2A,1,Scher,4,7.5,200,9.918231,,
V2A,1.5,V2A,1,Scher,4,8.5,150,9.883484,,
V2A,1.5,V2A,1,Scher,4.5,6.5,100,9.779243,,
V2A,1.5,V2A,1,Scher,4.5,6.5,200,10.51525,,
V2A,1.5,V2A,1,Scher,4.5,7.5,150,9.507583,,
V2A,1.5,V2A,1,Scher,4.5,8.5,100,10.335197,,
V2A,1.5,V2A,1,Scher,4.5,8.5,200,11.349181,,
AA5754,1,AA5754,1,Scher,2.5,32,50,3.436312,,
AA5754,1,AA5754,1,Scher,2.5,32,70,3.133064,,
AA5754,1,AA5754,1,Scher,2.5,34,60,2.608699,,
AA5754,1,AA5754,1,Scher,2.5,36,50,3.256259,,
AA5754,1,AA5754,1,Scher,2.5,36,70,3.493171,,
AA5754,1,AA5754,1,Scher,3,32,60,2.84877,,
AA5754,1,AA5754,1,Scher,3,34,50,2.861405,,
AA5754,1,AA5754,1,Scher,3,34,60,3.386,,
AA5754,1,AA5754,1,Scher,3,34,70,2.760322,,
AA5754,1,AA5754,1,Scher,3,36,60,2.937217,,
AA5754,1,AA5754,1,Scher,3.5,32,50,3.291006,,
AA5754,1,AA5754,1,Scher,3.5,32,70,3.069888,,
AA5754,1,AA5754,1,Scher,3.5,34,60,2.604457,,
AA5754,1,AA5754,1,Scher,3.5,36,50,2.922328,,
AA5754,1,AA5754,1,Scher,3.5,36,70,3.341547,,
AA5754,1,AL6547,1,Scher,2.5,32,50,2.485504,,
AA5754,1,AL6547,1,Scher,2.5,32,70,2.763481,,
AA5754,1,AL6547,1,Scher,2.5,34,60,2.450757,,
AA5754,1,AL6547,1,Scher,2.5,36,50,2.769799,,
AA5754,1,AL6547,1,Scher,2.5,36,70,2.564475,,
AA5754,1,AL6547,1,Scher,3,32,60,3.031982,,
AA5754,1,AL6547,1,Scher,3,34,50,2.681352,,
AA5754,1,AL6547,1,Scher,3,34,60,3.050784,,
AA5754,1,AL6547,1,Scher,3,34,70,2.915105,,
AA5754,1,AL6547,1,Scher,3,36,60,2.953011,,
AA5754,1,AL6547,1,Scher,3.5,32,50,2.46971,,
AA5754,1,AL6547,1,Scher,3.5,32,70,2.501298,,
AA5754,1,AL6547,1,Scher,3.5,34,60,2.428645,,
AA5754,1,AL6547,1,Scher,3.5,36,50,2.406445,,
AA5754,1,AL6547,1,Scher,3.5,36,70,2.618175,,
AA5754,1,AA6014,1.5,Scher,2.5,32,50,2.071698,,
AA5754,1,AA6014,1.5,Scher,2.5,32,70,2.949852,,
AA5754,1,AA6014,1.5,Scher,2.5,34,60,2.141192,,
AA5754,1,AA6014,1.5,Scher,2.5,36,50,1.721067,,
AA5754,1,AA6014,1.5,Scher,2.5,36,70,1.592549,,
AA5754,1,AA6014,1.5,Scher,3,32,60,3.417359,,
AA5754,1,AA6014,1.5,Scher,3,34,50,1.901121,,
AA5754,1,AA6014,1.5,Scher,3,34,60,2.629717,,
AA5754,1,AA6014,1.5,Scher,3,34,70,2.093809,,
AA5754,1,AA6014,1.5,Scher,3,36,60,2.52341,,
AA5754,1,AA6014,1.5,Scher,3.5,32,50,2.409692,,
AA5754,1,AA6014,1.5,Scher,3.5,32,70,2.826658,,
AA5754,1,AA6014,1.5,Scher,3.5,34,60,3.066729,,
AA5754,1,AA6014,1.5,Scher,3.5,36,50,3.057253,,
AA5754,1,AA6014,1.5,Scher,3.5,36,70,1.986409,,
AA6014,1.5,AA6014,1.5,Scher,3.5,37,90,2.924582,,
AA6014,1.5,AA6014,1.5,Scher,3.5,37,110,3.167812,,
AA6014,1.5,AA6014,1.5,Scher,3.5,38,100,3.704813,,
AA6014,1.5,AA6014,1.5,Scher,3.5,39,90,3.546871,,
AA6014,1.5,AA6014,1.5,Scher,3.5,39,110,3.420518,,
AA6014,1.5,AA6014,1.5,Scher,4,37,100,3.234147,,
AA6014,1.5,AA6014,1.5,Scher,4,38,90,3.300482,,
AA6014,1.5,AA6014,1.5,Scher,4,38,100,3.395578,,
AA6014,1.5,AA6014,1.5,Scher,4,38,110,3.114111,,
AA6014,1.5,AA6014,1.5,Scher,4,39,100,3.347865,,
AA6014,1.5,AA6014,1.5,Scher,4.5,37,90,3.319435,,
AA6014,1.5,AA6014,1.5,Scher,4.5,37,110,3.805895,,
AA6014,1.5,AA6014,1.5,Scher,4.5,38,100,3.556348,,
AA6014,1.5,AA6014,1.5,Scher,4.5,39,90,3.174127,,
AA6014,1.5,AA6014,1.5,Scher,4.5,39,110,3.123588,,
AA6014,1.5,AL6547,1,Scher,2.5,32,50,2.791911,,
AA6014,1.5,AL6547,1,Scher,2.5,32,70,2.814023,,
AA6014,1.5,AL6547,1,Scher,2.5,34,60,2.968805,,
AA6014,1.5,AL6547,1,Scher,2.5,36,50,3.082523,,
AA6014,1.5,AL6547,1,Scher,2.5,36,70,2.978282,,
AA6014,1.5,AL6547,1,Scher,3,32,60,2.79507,,
AA6014,1.5,AL6547,1,Scher,3,34,50,3.268894,,
AA6014,1.5,AL6547,1,Scher,3,34,60,2.925607,,
AA6014,1.5,AL6547,1,Scher,3,34,70,2.646605,,
AA6014,1.5,AL6547,1,Scher,3,36,60,2.915105,,
AA6014,1.5,AL6547,1,Scher,3.5,32,50,2.804546,,
AA6014,1.5,AL6547,1,Scher,3.5,32,70,2.860387,,
AA6014,1.5,AL6547,1,Scher,3.5,34,60,3.316277,,
AA6014,1.5,AL6547,1,Scher,3.5,36,50,2.406534,,
AA6014,1.5,AL6547,1,Scher,3.5,36,70,2.757164,,
AL6547,1,AL6547,1,Scher,2.5,32,50,2.482257,,
AL6547,1,AL6547,1,Scher,2.5,32,70,2.744528,,
AL6547,1,AL6547,1,Scher,2.5,34,60,3.085682,,
AL6547,1,AL6547,1,Scher,2.5,36,50,2.883517,,
AL6547,1,AL6547,1,Scher,2.5,36,70,2.798228,,
AL6547,1,AL6547,1,Scher,3,32,60,2.355992,,
AL6547,1,AL6547,1,Scher,3,34,50,2.510775,,
AL6547,1,AL6547,1,Scher,3,34,60,2.77006,,
AL6547,1,AL6547,1,Scher,3,34,70,2.532887,,
AL6547,1,AL6547,1,Scher,3,36,60,3.041458,,
AL6547,1,AL6547,1,Scher,3.5,32,50,2.134696,,
AL6547,1,AL6547,1,Scher,3.5,32,70,2.529728,,
AL6547,1,AL6547,1,Scher,3.5,34,60,2.485504,,
AL6547,1,AL6547,1,Scher,3.5,36,50,2.611867,,
AL6547,1,AL6547,1,Scher,3.5,36,70,2.738211,,
AA6014,1.5,AA5754,1,Scher,2.5,32,50,2.071698,,
AA6014,1.5,AA5754,1,Scher,2.5,32,70,2.949852,,
AA6014,1.5,AA5754,1,Scher,2.5,34,60,2.141192,,
AA6014,1.5,AA5754,1,Scher,2.5,36,50,1.721067,,
AA6014,1.5,AA5754,1,Scher,2.5,36,70,1.592549,,
AA6014,1.5,AA5754,1,Scher,3,32,60,3.417359,,
AA6014,1.5,AA5754,1,Scher,3,34,50,1.901121,,
AA6014,1.5,AA5754,1,Scher,3,34,60,2.629717,,
AA6014,1.5,AA5754,1,Scher,3,34,70,2.093809,,
AA6014,1.5,AA5754,1,Scher,3,36,60,2.52341,,
AA6014,1.5,AA5754,1,Scher,3.5,32,50,2.409692,,
AA6014,1.5,AA5754,1,Scher,3.5,32,70,2.826658,,
AA6014,1.5,AA5754,1,Scher,3.5,34,60,3.066729,,
AA6014,1.5,AA5754,1,Scher,3.5,36,50,3.057253,,
AA6014,1.5,AA5754,1,Scher,3.5,36,70,1.986409,,
AL6547,1,AA5754,1,Scher,2.5,32,50,2.485504,,
AL6547,1,AA5754,1,Scher,2.5,32,70,2.763481,,
AL6547,1,AA5754,1,Scher,2.5,34,60,2.450757,,
AL6547,1,AA5754,1,Scher,2.5,36,50,2.769799,,
AL6547,1,AA5754,1,Scher,2.5,36,70,2.564475,,
AL6547,1,AA5754,1,Scher,3,32,60,3.031982,,
AL6547,1,AA5754,1,Scher,3,34,50,2.681352,,
AL6547,1,AA5754,1,Scher,3,34,60,3.050784,,
AL6547,1,AA5754,1,Scher,3,34,70,2.915105,,
AL6547,1,AA5754,1,Scher,3,36,60,2.953011,,
AL6547,1,AA5754,1,Scher,3.5,32,50,2.46971,,
AL6547,1,AA5754,1,Scher,3.5,32,70,2.501298,,
AL6547,1,AA5754,1,Scher,3.5,34,60,2.428645,,
AL6547,1,AA5754,1,Scher,3.5,36,50,2.406445,,
AL6547,1,AA5754,1,Scher,3.5,36,70,2.618175,,
AL6547,1,AA6014,1.5,Scher,2.5,32,50,2.791911,,
AL6547,1,AA6014,1.5,Scher,2.5,32,70,2.814023,,
AL6547,1,AA6014,1.5,Scher,2.5,34,60,2.968805,,
AL6547,1,AA6014,1.5,Scher,2.5,36,50,3.082523,,
AL6547,1,AA6014,1.5,Scher,2.5,36,70,2.978282,,
AL6547,1,AA6014,1.5,Scher,3,32,60,2.79507,,
AL6547,1,AA6014,1.5,Scher,3,34,50,3.268894,,
AL6547,1,AA6014,1.5,Scher,3,34,60,2.925607,,
AL6547,1,AA6014,1.5,Scher,3,34,70,2.646605,,
AL6547,1,AA6014,1.5,Scher,3,36,60,2.915105,,
AL6547,1,AA6014,1.5,Scher,3.5,32,50,2.804546,,
AL6547,1,AA6014,1.5,Scher,3.5,32,70,2.860387,,
AL6547,1,AA6014,1.5,Scher,3.5,34,60,3.316277,,
AL6547,1,AA6014,1.5,Scher,3.5,36,50,2.406534,,
AL6547,1,AA6014,1.5,Scher,3.5,36,70,2.757164,,
DP600,2,DP600,2,Scher,2,8,300,12.309466,,
DP600,2,DP600,2,Scher,2,8,500,15.05133,,
DP600,2,DP600,2,Scher,2,9,400,15.954755,,
DP600,2,DP600,2,Scher,2,10,300,14.432199,,
DP600,2,DP600,2,Scher,2,10,500,18.816655,,
DP600,2,DP600,2,Scher,2.25,8,400,13.121285,,
DP600,2,DP600,2,Scher,2.25,9,300,13.914151,,
DP600,2,DP600,2,Scher,2.25,9,400,18.152413,,
DP600,2,DP600,2,Scher,2.25,9,500,15.768384,,
DP600,2,DP600,2,Scher,2.25,10,400,14.738606,,
DP600,2,DP600,2,Scher,2.5,8,300,11.538711,,
DP600,2,DP600,2,Scher,2.5,8,500,18.387054,,
DP600,2,DP600,2,Scher,2.5,9,400,16.213779,,
DP600,2,DP600,2,Scher,2.5,10,300,15.434898,,
DP600,2,DP600,2,Scher,2.5,10,500,16.412786,,
DP600,2,DP980,1.25,Scher,1.5,6.5,200,12.308238,,
DP600,2,DP980,1.25,Scher,1.5,6.5,400,13.761672,,
DP600,2,DP980,1.25,Scher,1.5,7.5,300,14.119968,,
DP600,2,DP980,1.25,Scher,1.5,8.5,200,14.801782,,
DP600,2,DP980,1.25,Scher,1.5,8.5,400,14.381658,,
DP600,2,DP980,1.25,Scher,1.75,6.5,300,12.334736,,
DP600,2,DP980,1.25,Scher,1.75,7.5,200,14.523805,,
DP600,2,DP980,1.25,Scher,1.75,7.5,300,15.200082,,
DP600,2,DP980,1.25,Scher,1.75,7.5,400,13.844657,,
DP600,2,DP980,1.25,Scher,1.75,8.5,300,15.544107,,
DP600,2,DP980,1.25,Scher,2,6.5,200,13.121285,,
DP600,2,DP980,1.25,Scher,2,6.5,400,14.580664,,
DP600,2,DP980,1.25,Scher,2,7.5,300,15.250336,,
DP600,2,DP980,1.25,Scher,2,8.5,200,14.99763,,
DP600,2,DP980,1.25,Scher,2,8.5,400,15.534631,,
DP980,1.25,DP980,1.25,Scher,1.5,6.5,200,13.266591,,
DP980,1.25,DP980,1.25,Scher,1.5,6.5,400,12.893849,,
DP980,1.25,DP980,1.25,Scher,1.5,7.5,300,12.113618,,
DP980,1.25,DP980,1.25,Scher,1.5,8.5,200,11.011186,,
DP980,1.25,DP980,1.25,Scher,1.5,8.5,400,13.401993,,
DP980,1.25,DP980,1.25,Scher,1.75,6.5,300,9.849198,,
DP980,1.25,DP980,1.25,Scher,1.75,7.5,200,10.57076,,
DP980,1.25,DP980,1.25,Scher,1.75,7.5,300,14.77141,,
DP980,1.25,DP980,1.25,Scher,1.75,7.5,400,13.462439,,
DP980,1.25,DP980,1.25,Scher,1.75,8.5,300,12.9839261,,
DP980,1.25,DP980,1.25,Scher,2,6.5,200,16.23905,,
DP980,1.25,DP980,1.25,Scher,2,6.5,400,15.310354,,
DP980,1.25,DP980,1.25,Scher,2,7.5,300,13.013885,,
DP980,1.25,DP980,1.25,Scher,2,8.5,200,14.725971,,
DP980,1.25,DP980,1.25,Scher,2,8.5,400,14.305846,,
DP980,1.25,DP600,2,Scher,1.5,6.5,200,12.308238,,
DP980,1.25,DP600,2,Scher,1.5,6.5,400,13.761672,,
DP980,1.25,DP600,2,Scher,1.5,7.5,300,14.119968,,
DP980,1.25,DP600,2,Scher,1.5,8.5,200,14.801782,,
DP980,1.25,DP600,2,Scher,1.5,8.5,400,14.381658,,
DP980,1.25,DP600,2,Scher,1.75,6.5,300,12.334736,,
DP980,1.25,DP600,2,Scher,1.75,7.5,200,14.523805,,
DP980,1.25,DP600,2,Scher,1.75,7.5,300,15.200082,,
DP980,1.25,DP600,2,Scher,1.75,7.5,400,13.844657,,
DP980,1.25,DP600,2,Scher,1.75,8.5,300,15.544107,,
DP980,1.25,DP600,2,Scher,2,6.5,200,13.121285,,
DP980,1.25,DP600,2,Scher,2,6.5,400,14.580664,,
DP980,1.25,DP600,2,Scher,2,7.5,300,15.250336,,
DP980,1.25,DP600,2,Scher,2,8.5,200,14.99763,,
DP980,1.25,DP600,2,Scher,2,8.5,400,15.534631,,
